%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-170.9903,-463.95007,0
-263.6311,-493.81995,0
402.37903,-928.1809,0
-669.60706,-468.54712,0
76.81555,465.49048,1
606.4397,-628.1931,0
150.28076,153.42383,0
198.87549,-698.6079,0
-603.8461,792.3396,1
202.94336,-251.76984,0
-957.49963,-618.64624,0
771.9962,-702.6234,0
573.7124,-988.3609,0
339.13843,-261.75708,0
220.797,-141.48108,0
924.2711,-282.82257,0
461.66052,-185.99371,0
-776.1297,-629.1494,0
-629.68286,503.49927,1
479.65222,692.9503,1
-765.9708,338.55005,1
-516.3932,326.14148,1
499.9619,728.32776,1
-499.2859,973.1981,1
-181.98236,605.5968,1
-623.0215,685.67065,1
-285.91284,18.737549,1
-350.74847,-84.597046,1
258.0398,-300.4618,0
84.6366,403.66772,1
-16.651794,237.18884,1
-248.89972,-265.3604,0
270.32178,-227.88562,0
457.24097,694.38367,1
422.50403,968.985,1
-802.0049,-546.5173,0
-254.13605,436.44275,1
-895.6103,-969.1126,0
82.99072,731.7937,1
-680.72473,498.52063,1
-540.4197,622.1078,1
207.30493,-49.37561,0
768.0786,-631.1174,0
-643.7481,388.7881,1
743.426,-538.3783,0
-61.91559,363.0515,1
-121.57544,-553.6155,0
172.04883,-538.5698,0
-618.6721,278.57117,1
868.3345,554.65906,0
795.83264,974.9016,1
-670.2708,79.91077,1
-516.27234,247.75916,1
249.99402,586.69214,1
813.0348,275.7649,0
-328.47852,270.07678,1
-400.44592,797.6583,1
551.1648,280.8871,0
-882.6948,312.25842,1
31.95581,229.39148,1
-176.56805,325.4851,1
-870.2424,-511.46933,0
-164.28076,306.1222,1
-782.2758,654.65,1
-844.0552,-704.7914,0
427.76978,-161.8424,0
-350.12842,959.645,1
887.0773,333.48767,0
874.7605,288.80725,0
569.00366,-342.80048,0
-12.136353,103.6626,1
-538.4309,944.99536,1
174.43481,81.08447,0
743.0416,262.89502,0
301.37476,91.769165,0
-297.03638,-485.24567,0
832.703,-691.64404,0
258.2865,317.77576,1
-564.37103,761.05945,1
-911.88556,-530.39905,0
161.07397,-198.677,0
646.88367,-554.95984,0
600.0691,279.70947,0
614.6305,-262.56293,0
-2.4613037,152.44104,1
704.334,799.1271,1
-52.44812,701.7129,1
170.14099,-162.604,0
-0.7949829,588.09924,1
846.6139,786.80237,1
-730.1236,-450.91882,0
-902.02905,-594.3226,0
-7.328308,715.9215,1
-332.39044,634.0708,1
-182.54297,-758.17676,0
-907.9591,-897.6361,0
639.9547,217.50208,0
79.68396,994.22473,1
750.9553,696.0156,1
-946.1982,344.53125,1
177.77722,-943.112,0
920.1848,-707.6553,0
232.68225,-89.72424,0
44.019775,-189.03436,0
-511.9632,275.1222,1
406.70764,1.5609131,0
